Jurisdiction,Year,Category ,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Somerset County,2035,Total Non-Hispanic Other,273,218,228,190,152,206,152,123,134,144,100,50,31,25,26,31,8,10,2101
State of Maryland,2010,Total Male,185585,186627,192617,192223,180595,186461,173469,176722,195781,216949,207093,176329,148079,103573,70905,51833,36759,28343,2709943
State of Maryland,2010,Total Female,178243,179763,185695,181816,181126,198014,188390,195038,216264,238504,228326,197861,166758,120535,86149,69231,56581,56940,2925234
Worcester County,2025,Total Non-Hispanic Other,194,171,224,265,135,108,94,87,85,111,115,89,122,95,64,38,18,14,2029
State of Maryland,2010,Non-Hisp White Male,79991,86692,94308,93271,89308,93898,84130,88429,107017,129476,130321,116696,101266,72418,49641,38006,28848,23197,1506913
State of Maryland,2010,Non-Hisp White Female,75986,83066,89093,87138,87962,95224,86371,93513,112727,134049,135043,121635,106186,79541,57256,48461,42747,44874,1580872
Baltimore City,2020,Total Non-Hispanic Other,2041,1459,1769,1582,2164,2477,3564,3183,2584,2057,1525,1328,1194,891,630,377,175,101,29101
Howard County,2045,Total Non-Hispanic Other,6653,6722,6764,6974,7340,7809,8277,7867,7796,7565,7304,6884,7176,6660,6074,4855,3801,3373,119894
Anne Arundel County,2030,Total Non-Hispanic Other,4367,3678,3423,3404,4803,4609,4163,3590,3182,3369,3251,2940,2404,2188,1857,1187,815,289,53519
Cecil County,2025,Total Non-Hispanic Other,515,367,327,548,510,534,335,292,272,228,247,227,208,126,58,33,19,9,4855
Washington County,2020,Total Non-Hispanic Other,640,527,1219,1045,669,546,397,461,383,439,366,375,291,188,125,67,21,17,7776
Washington County,2025,Total Non-Hispanic Other,983,752,634,1277,956,801,602,474,492,443,470,405,393,249,186,91,22,20,9250
Prince George's County,2030,Total Non-Hispanic Other,4388,3677,3253,3307,5396,6203,4770,4923,4559,4228,4476,4146,3671,2932,2432,1759,940,618,65678
Montgomery County,2025,Total Non-Hispanic Other,14217,13776,15008,15255,13170,14674,13802,13992,14972,15801,15923,14720,14009,11767,9205,6956,4286,5619,227152
Montgomery County,2020,Total Non-Hispanic Other,12689,13737,14994,14035,11001,11808,12695,14225,14741,15271,14514,13853,11905,9539,7557,5073,3284,3525,204446
Queen Anne's County,2010,Total Non-Hispanic Other,202,205,148,103,65,49,61,83,85,90,70,62,48,31,19,13,11,3,1348
Talbot County,2040,Total Non-Hispanic Other,110,113,111,86,67,47,160,136,119,103,62,66,36,21,28,20,16,35,1336
Dorchester Co,2010,Total Non-Hispanic Other,177,111,87,61,49,60,46,53,45,52,60,47,39,27,22,12,7,4,959
Kent County,2040,Total Non-Hispanic Other,49,56,51,35,32,14,62,34,24,23,20,25,23,15,13,10,8,3,497
Caroline County,2020,Total Non-Hispanic Other,98,66,201,143,70,61,58,49,47,38,41,42,35,26,17,11,6,4,1013
Baltimore City,2035,Total Non-Hispanic Other,1610,1208,1378,1437,1771,2355,2471,1969,2064,3172,3275,2602,2061,1358,1007,689,340,149,30916
Prince George's County,2010,Total Non-Hispanic Other,4380,3802,3548,3630,4831,4997,4358,3933,3571,3447,3505,3282,2764,1810,1205,791,458,350,54662
Prince George's County,2045,Total Non-Hispanic Other,4591,4238,4140,4053,4999,4915,3983,4775,4934,4727,5124,4783,4223,3696,2838,1998,1138,1021,70176
Harford County,2040,Total Non-Hispanic Other,2381,2259,2025,1852,1218,1259,1877,1908,1651,1373,1232,1265,1130,1039,826,533,390,117,24335
