Date created,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
2020-08-27T00:00:00.000,2001,21486,16,629,1185,1987,58,70,66,59,72,8,257,6,144,1066,12,10246,5058,54,34,56,38,102,192,71
2020-08-27T00:00:00.000,2002,20010,15,53,1164,1926,32,71,61,53,-29,7,210,5,53,999,11,10143,4846,53,34,-75,40,90,179,69
2020-08-27T00:00:00.000,2003,15408,7,-1104,1011,1658,-26,70,47,42,-231,2,97,5,-130,811,8,9130,3948,42,31,-325,38,63,155,59
2020-08-27T00:00:00.000,2004,21393,15,1350,1043,1668,91,77,78,61,213,11,297,6,221,976,10,9340,5231,49,34,244,44,96,172,66
2020-08-27T00:00:00.000,2005,21141,13,508,1132,1805,50,81,74,59,53,8,247,7,102,993,10,10154,5351,47,38,40,44,91,169,65
2020-08-27T00:00:00.000,2006,22574,15,1032,1150,1834,74,88,82,64,147,11,296,7,182,1041,11,10265,5634,49,39,152,45,99,189,68
2020-08-27T00:00:00.000,2007,19328,12,491,1023,1618,46,77,65,59,56,9,228,7,93,912,8,9267,4883,44,33,42,40,83,171,61
2020-08-27T00:00:00.000,2008,18849,11,632,979,1539,53,80,65,57,84,10,235,5,113,876,7,8854,4740,43,31,80,39,83,172,61
2020-08-27T00:00:00.000,2009,16608,10,434,865,1357,42,74,57,46,56,10,197,6,80,753,8,7967,4207,39,28,46,37,72,161,56
2020-08-27T00:00:00.000,2010,17133,12,714,852,1337,57,76,61,48,108,11,220,6,121,766,8,7911,4305,41,29,114,38,77,164,57
2020-08-27T00:00:00.000,2011,20485,49,649,1717,2837,30,28,20,64,158,15,513,10,226,1189,0,7512,4723,-3,27,75,27,158,418,43
2020-08-27T00:00:00.000,2012,25540,69,1363,2041,3237,119,48,81,77,224,14,736,14,335,1485,6,9090,5583,21,35,298,25,208,408,23
2020-08-27T00:00:00.000,2013,21154,63,916,1639,2594,60,60,47,62,156,14,577,2,213,1235,-5,7998,4621,53,37,192,38,196,345,41
2020-08-27T00:00:00.000,2014,23126,75,996,1930,2797,70,60,48,80,172,31,649,9,240,1446,0,8603,5135,59,37,141,-1,199,316,34
2020-08-27T00:00:00.000,2015,27296,75,1466,2220,3268,97,68,67,84,198,70,740,-2,333,1532,13,9890,6287,57,48,201,14,205,313,52
2020-08-27T00:00:00.000,2016,21413,60,918,1823,2497,61,56,46,43,123,52,521,-1,290,1193,11,7837,5189,35,31,132,17,190,255,34
2020-08-27T00:00:00.000,2017,22617,69,778,1932,2692,52,61,42,46,102,55,535,-1,285,1263,7,8468,5548,40,35,106,20,196,252,34
2020-08-27T00:00:00.000,2018,15809,41,366,1433,1770,12,46,23,43,40,67,346,-1,216,805,9,5960,4102,29,21,56,12,178,220,15
2020-08-27T00:00:00.000,2019,15011,42,436,1290,1727,26,43,21,-12,65,8,325,-1,136,779,8,5699,3991,23,18,60,9,116,185,17
2021-10-29T00:00:00.000,2020,13078,33,317,1091,1500,16,45,47,16,101,13,387,0,156,689,6,4680,3520,35,25,62,13,102,191,33
2022-10-03T00:00:00.000,2021,6838,13,184,570,821,12,16,38,2,63,5,244,1,68,288,5,2367,1857,27,33,12,14,60,123,15
